Loan_ID,Gender,Marital_Status,Dependents,Education,Employment_Status,Job_Tenure,Industry,Applicant_Annual_Income,CoApplicant_Annual_Income,Other_Income,Monthly_Debt_Obligations,Credit_Tier,Credit_Score,Bankruptcy_History,Late_Payments_2yr,Credit_Utilization_Pct,Loan_Type,Loan_Purpose,Loan_Amount_K,Loan_Term_Months,Down_Payment_Pct,Property_Area,Collateral,Loan_Status
NV0000001,Male,Single,1,Bachelor's Degree,Business Owner,2-5 years,Manufacturing,40155,0,0,3000,Fair (580-669),625,None,3,65,Home Purchase,Vacation Home,10,60,20.0,Rural,Vehicle,Rejected
NV0000002,Non-binary,Single,2,High School,Independent Contractor,2-5 years,Education,34404,0,0,2000,Very Good (740-799),770,None,0,20,Home Purchase,Home Improvement,800,360,10.0,Semiurban,Real Estate,Rejected
NV0000003,Female,Divorced,2,Master's Degree,Full-time Employee,1-2 years,Government,44772,0,0,7500,Exceptional (800-850),825,Discharged 7+ years ago,0,45,Personal Loan,Business Capital,100,360,20.0,Suburban,Real Estate,Rejected
NV0000004,Female,Single,0,Bachelor's Degree,Retired,5-10 years,Finance,51547,0,0,800,Fair (580-669),625,Discharged 7+ years ago,0,5,Home Purchase,Investment Property,50,360,20.0,Rural,Vehicle,Approved
NV0000005,Male,Single,0,High School,Self-Employed,2-5 years,Retail,94188,0,8000,2000,Exceptional (800-850),825,Discharged 7+ years ago,1,45,Debt Consolidation,Medical,15,120,20.0,Urban,Business Assets,Approved
NV0000006,Male,Married,0,Doctoral Degree,Full-time Employee,10+ years,Technology,165834,42000,0,1000,Good (670-739),705,Discharged 7+ years ago,3,20,Home Purchase,Primary Residence,150,360,0.0,Rural,Vehicle,Manual Review
NV0000007,Male,Married,0,Bachelor's Degree,Business Owner,<6 months,Other,96091,28000,3000,0,Exceptional (800-850),825,None,1,20,Auto Loan,Primary Residence,30,360,0.0,Urban,Vehicle,Approved
NV0000008,Female,Married,1,High School,Full-time Employee,5-10 years,Finance,75757,28000,0,0,Very Good (740-799),770,None,1,5,Personal Loan,Investment Property,800,120,20.0,Semiurban,None (Unsecured),Rejected
NV0000009,Female,Single,2,Bachelor's Degree,Independent Contractor,5-10 years,Construction,98104,0,0,0,Good (670-739),705,None,0,5,Home Purchase,Primary Residence,500,360,5.0,Rural,Real Estate,Approved
NV0000010,Female,Married,0,Associate Degree,Full-time Employee,5-10 years,Legal,100477,42000,5000,500,Good (670-739),705,None,0,5,Personal Loan,Major Purchase,150,360,20.0,Suburban,Investment Portfolio,Approved
NV0000011,Male,Single,0,Master's Degree,Government/Military,10+ years,Legal,60813,0,0,200,Very Good (740-799),770,None,1,20,Personal Loan,Medical,600,240,20.0,Semiurban,None (Unsecured),Rejected
NV0000012,Prefer not to say,Single,1,Master's Degree,Part-time Employee,5-10 years,Other,42482,0,0,2000,Very Good (740-799),770,None,1,65,HELOC,Investment Property,20,360,30.0,Suburban,Real Estate,Manual Review
NV0000013,Female,Divorced,2,No Formal Education,Independent Contractor,10+ years,Healthcare,38743,0,0,2000,Very Good (740-799),770,None,1,20,HELOC,Major Purchase,30,480,25.0,Rural,Real Estate,Rejected
NV0000014,Male,Single,0,Bachelor's Degree,Full-time Employee,2-5 years,Education,85015,0,0,5000,Good (670-739),705,None,2,45,Home Purchase,Home Improvement,30,60,10.0,Semiurban,None (Unsecured),Rejected
NV0000015,Male,Married,2,Bachelor's Degree,Independent Contractor,2-5 years,Retail,224136,0,0,500,Very Poor (300-499),420,None,2,5,Home Refinance,Debt Consolidation,15,360,20.0,Semiurban,None (Unsecured),Rejected
NV0000016,Male,Married,0,Master's Degree,Freelancer,<6 months,Finance,67423,42000,0,5000,Fair (580-669),625,None,2,20,Debt Consolidation,Medical,600,360,3.5,Rural,Real Estate,Rejected
NV0000017,Male,Married,3,High School,Part-time Employee,<6 months,Technology,159143,28000,0,1500,Exceptional (800-850),825,None,3,20,Personal Loan,Vacation Home,15,360,10.0,Urban,Real Estate,Approved
NV0000018,Male,Divorced,3,Bachelor's Degree,Self-Employed,1-2 years,Manufacturing,17294,0,0,800,Exceptional (800-850),825,None,4,85,Personal Loan,Home Improvement,250,360,20.0,Suburban,Real Estate,Rejected
NV0000019,Male,Single,0,Bachelor's Degree,Part-time Employee,6-12 months,Other,129882,0,0,1500,Poor (500-579),540,None,0,65,HELOC,Major Purchase,200,360,20.0,Rural,Real Estate,Approved
NV0000020,Male,Married,0,High School,Government/Military,1-2 years,Healthcare,133635,0,0,2000,Good (670-739),705,None,0,20,Personal Loan,Vacation Home,40,84,20.0,Urban,Vehicle,Approved
NV0000021,Female,Divorced,1,Bachelor's Degree,Part-time Employee,1-2 years,Legal,75629,0,5000,200,Good (670-739),705,None,0,45,Education Loan,Vacation Home,10,360,3.5,Suburban,Investment Portfolio,Approved
NV0000022,Male,Married,0,Master's Degree,Government/Military,<6 months,Technology,208851,15000,0,2000,Fair (580-669),625,None,2,5,HELOC,Major Purchase,10,360,25.0,Urban,None (Unsecured),Approved
NV0000023,Male,Divorced,2,Master's Degree,Freelancer,10+ years,Legal,63078,0,3000,2000,Very Good (740-799),770,None,0,20,Home Refinance,Major Purchase,25,120,5.0,Suburban,Real Estate,Approved
NV0000024,Male,Single,2,High School,Full-time Employee,<6 months,Government,41037,0,8000,10000,Good (670-739),705,None,0,5,Home Purchase,Medical,75,60,25.0,Urban,Business Assets,Rejected
NV0000025,Male,Married,2,High School,Full-time Employee,5-10 years,Other,31517,42000,0,4000,Very Poor (300-499),420,None,0,20,Home Refinance,Investment Property,50,360,20.0,Rural,Real Estate,Rejected
NV0000026,Female,Single,2,Associate Degree,Full-time Employee,1-2 years,Healthcare,69698,0,0,1500,Good (670-739),705,None,1,5,Personal Loan,Debt Consolidation,100,360,10.0,Semiurban,Real Estate,Approved
NV0000027,Male,Married,1,Master's Degree,Freelancer,10+ years,Manufacturing,153821,28000,0,2000,Exceptional (800-850),825,Discharged 2-7 years ago,0,45,Business Loan,Medical,200,360,0.0,Rural,Vehicle,Approved
NV0000028,Male,Widowed,0,High School,Full-time Employee,10+ years,Construction,24970,0,0,5000,Exceptional (800-850),825,None,0,20,HELOC,Major Purchase,40,360,5.0,Urban,Real Estate,Rejected
NV0000029,Female,Single,2,Bachelor's Degree,Self-Employed,5-10 years,Healthcare,85779,0,3000,5000,Very Good (740-799),770,None,0,45,Home Purchase,Vacation Home,25,360,25.0,Urban,Real Estate,Rejected
NV0000030,Male,Married,0,High School,Freelancer,5-10 years,Retail,99616,15000,0,3000,Fair (580-669),625,None,1,20,Home Refinance,Vacation Home,200,480,25.0,Urban,None (Unsecured),Approved
NV0000031,Female,Single,2,Bachelor's Degree,Full-time Employee,<6 months,Manufacturing,26454,0,0,2500,Very Good (740-799),770,None,0,5,Personal Loan,Home Improvement,40,360,20.0,Suburban,Real Estate,Rejected
NV0000032,Male,Married,0,Bachelor's Degree,Independent Contractor,10+ years,Finance,23235,80000,0,0,Exceptional (800-850),825,None,0,45,Personal Loan,Debt Consolidation,30,360,20.0,Urban,Investment Portfolio,Approved
NV0000033,Male,Married,0,Master's Degree,Full-time Employee,10+ years,Healthcare,55769,15000,5000,3000,Very Poor (300-499),420,None,1,65,HELOC,Debt Consolidation,200,360,20.0,Rural,Real Estate,Rejected
NV0000034,Non-binary,Divorced,4,Associate Degree,Full-time Employee,10+ years,Manufacturing,39900,0,0,200,Exceptional (800-850),825,None,0,65,HELOC,Business Capital,500,360,20.0,Suburban,Real Estate,Manual Review
NV0000035,Prefer not to say,Married,0,Bachelor's Degree,Freelancer,5-10 years,Finance,34457,15000,5000,1000,Exceptional (800-850),825,None,0,20,HELOC,Business Capital,400,360,20.0,Suburban,Vehicle,Approved
NV0000036,Female,Married,4,Associate Degree,Full-time Employee,2-5 years,Healthcare,30338,0,5000,500,Very Good (740-799),770,None,1,45,Home Purchase,Vacation Home,20,360,10.0,Urban,Business Assets,Approved
NV0000037,Male,Single,4,Bachelor's Degree,Full-time Employee,10+ years,Technology,24777,0,0,500,Very Good (740-799),770,None,0,45,HELOC,Debt Consolidation,75,120,25.0,Suburban,Vehicle,Manual Review
NV0000038,Male,Single,2,Master's Degree,Government/Military,2-5 years,Construction,77550,0,0,500,Very Good (740-799),770,None,2,5,Personal Loan,Home Improvement,15,180,20.0,Urban,Investment Portfolio,Approved
NV0000039,Female,Single,2,High School,Full-time Employee,2-5 years,Technology,79145,0,0,3000,Poor (500-579),540,None,0,5,HELOC,Investment Property,600,180,10.0,Rural,None (Unsecured),Rejected
NV0000040,Male,Single,1,Master's Degree,Unemployed,6-12 months,Retail,96008,0,0,2500,Poor (500-579),540,None,0,5,Home Refinance,Vacation Home,25,360,25.0,Rural,Business Assets,Approved
NV0000041,Male,Domestic Partnership,3,Bachelor's Degree,Unemployed,10+ years,Manufacturing,69839,0,5000,1000,Good (670-739),705,None,2,20,HELOC,Primary Residence,25,360,20.0,Urban,Real Estate,Approved
NV0000042,Male,Married,0,High School,Full-time Employee,1-2 years,Finance,203472,58000,0,1500,Very Good (740-799),770,None,1,20,Debt Consolidation,Vacation Home,300,360,3.5,Urban,Investment Portfolio,Approved
NV0000043,Male,Married,1,Bachelor's Degree,Full-time Employee,1-2 years,Government,163923,58000,0,7500,Good (670-739),705,None,0,85,Debt Consolidation,Vacation Home,600,360,0.0,Semiurban,Vehicle,Rejected
NV0000044,Female,Single,1,High School,Business Owner,2-5 years,Healthcare,197818,0,0,500,Very Good (740-799),770,None,0,20,Education Loan,Investment Property,150,360,20.0,Semiurban,Investment Portfolio,Approved
NV0000045,Male,Domestic Partnership,1,Bachelor's Degree,Part-time Employee,5-10 years,Government,54698,80000,0,1000,Exceptional (800-850),825,None,2,45,Education Loan,Major Purchase,20,240,25.0,Suburban,Vehicle,Approved
NV0000046,Female,Married,1,Master's Degree,Full-time Employee,5-10 years,Healthcare,161088,42000,0,1000,Poor (500-579),540,None,1,45,Auto Loan,Business Capital,75,84,25.0,Semiurban,Real Estate,Approved
NV0000047,Male,Single,0,High School,Business Owner,1-2 years,Retail,107671,0,0,4000,Exceptional (800-850),825,None,0,5,Business Loan,Major Purchase,250,360,20.0,Suburban,Vehicle,Manual Review
NV0000048,Male,Married,1,Bachelor's Degree,Full-time Employee,<6 months,Government,41485,15000,0,500,Exceptional (800-850),825,Discharged 2-7 years ago,1,5,Debt Consolidation,Primary Residence,100,360,3.5,Semiurban,Vehicle,Approved
NV0000049,Male,Married,3,Master's Degree,Government/Military,5-10 years,Finance,23781,58000,0,7500,Good (670-739),705,None,0,20,Auto Loan,Business Capital,20,360,0.0,Suburban,Vehicle,Rejected
NV0000050,Male,Single,0,Doctoral Degree,Full-time Employee,10+ years,Education,78029,0,0,500,Good (670-739),705,None,0,45,Personal Loan,Primary Residence,25,240,10.0,Rural,None (Unsecured),Approved
NV0000051,Prefer not to say,Married,3,Bachelor's Degree,Full-time Employee,5-10 years,Technology,25947,15000,0,0,Exceptional (800-850),825,None,0,85,Personal Loan,Primary Residence,300,84,25.0,Suburban,None (Unsecured),Rejected
